timestamp,value
2004-01-01,6.3
2004-01-02,6.4
2004-01-03,5.9
2004-01-05,5.9
2004-01-06,6.0
2004-01-07,6.4
2004-01-08,6.1
2004-01-09,5.9
2004-01-10,6.5
2004-01-11,6.7
2004-01-12,6.5
2004-01-13,6.9
2004-01-14,6.6
2004-01-15,6.1
2004-01-16,6.1
2004-01-17,6.2
2004-01-19,6.0
2004-01-20,5.8
2004-01-21,6.2
2004-01-22,6.0
2004-01-23,6.1
2004-01-24,6.0
2004-01-25,6.2
2004-01-26,5.5
2004-01-27,5.8
2004-01-28,6.0
2004-01-29,5.4
2004-01-30,5.0
2004-01-31,4.6
2004-02-02,6.3
2004-02-03,6.4
2004-02-04,6.4
2004-02-05,6.3
2004-02-06,6.5
2004-02-07,6.3
2004-02-08,5.8
2004-02-09,6.2
2004-02-10,5.9
2004-02-11,5.9
2004-02-12,6.5
2004-02-13,6.7
2004-02-14,5.9
2004-02-15,6.2
2004-02-16,6.7
2004-02-17,6.4
2004-02-18,6.4
2004-02-19,5.6
2004-02-20,6.6
2004-02-21,6.4
2004-02-22,6.8
2004-02-23,6.7
2004-02-24,6.1
2004-02-25,5.0
2004-02-26,5.4
2004-02-27,6.1
2004-02-28,5.7
2004-02-29,5.7
2004-03-01,4.4
2004-03-02,4.0
2004-03-03,6.8
2004-03-04,6.3
2004-03-05,6.4
2004-03-06,6.4
2004-03-07,6.6
2004-03-08,6.4
2004-03-09,6.8
2004-03-10,6.2
2004-03-11,5.9
2004-03-12,6.1
2004-03-13,6.9
2004-03-14,7.0
2004-03-15,8.4
2004-03-16,8.5
2004-03-17,8.8
2004-03-18,8.9
2004-03-19,9.1
2004-03-20,8.1
2004-03-21,8.0
2004-03-22,7.4
2004-03-23,6.2
2004-03-24,5.8
2004-03-25,6.4
2004-03-26,6.0
2004-03-27,5.6
2004-03-29,8.1
2004-03-30,8.5
2004-03-31,9.1
2004-04-01,9.3
2004-04-02,9.8
2004-04-03,8.1
2004-04-04,8.7
2004-04-05,8.7
2004-04-06,6.8
2004-04-07,7.0
2004-04-08,8.0
2004-04-09,7.1
2004-04-10,6.6
2004-04-11,7.5
2004-04-12,7.5
2004-04-13,7.5
2004-04-14,9.3
2004-04-15,9.0
2004-04-16,9.6
2004-04-17,10.2
2004-04-18,10.1
2004-04-19,7.7
2004-04-20,9.1
2004-04-21,10.8
2004-04-22,10.9
2004-04-23,9.3
2004-04-24,9.0
2004-04-25,9.7
2004-04-26,10.3
2004-04-27,10.4
2004-04-28,11.5
2004-04-29,11.9
2004-04-30,11.0
2004-05-01,9.5
2004-05-02,10.8
2004-05-03,11.6
2004-05-04,11.3
2004-05-05,10.3
2004-05-06,9.6
2004-05-07,10.5
2004-05-08,10.1
2004-05-09,9.4
2004-05-10,10.9
2004-05-11,11.0
2004-05-12,12.4
2004-05-13,11.3
2004-05-14,11.2
2004-05-15,11.8
2004-05-16,12.1
2004-05-17,13.3
2004-05-18,15.1
2004-05-19,14.9
2004-05-20,14.9
2004-05-21,13.7
2004-05-22,12.9
2004-05-23,11.9
2004-05-24,11.8
2004-05-25,12.8
2004-05-26,13.8
2004-05-27,13.8
2004-05-28,13.6
2004-05-29,14.1
2004-05-30,13.7
2004-05-31,14.0
2004-06-01,13.6
2004-06-02,13.4
2004-06-03,12.7
2004-06-04,13.5
2004-06-05,12.9
2004-06-06,12.6
2004-06-07,12.3
2004-06-08,15.6
2004-06-09,17.3
2004-06-10,15.9
2004-06-22,15.3
2004-06-23,15.9
2004-06-24,16.4
2004-06-25,15.1
2004-06-26,15.3
2004-06-27,16.5
2004-06-28,16.8
2004-06-29,15.6
2004-06-30,16.6
2004-07-01,16.8
2004-07-02,15.3
2004-07-03,15.8
2004-07-04,16.9
2004-07-05,16.9
2004-07-06,16.8
2004-07-07,17.2
2004-07-08,17.8
2004-07-09,15.6
2004-07-12,15.9
2004-07-13,15.5
2004-07-14,16.8
2004-07-15,17.5
2004-07-16,18.4
2004-07-17,19.1
2004-07-18,18.4
2004-07-19,19.0
2004-07-20,19.2
