name,female,male,year
Aada,10,0,2016
Aadam,0,4,2016
Aadan,0,8,2016
Aadel,0,3,2016
Aadesh,0,5,2016
Aadhavan,0,3,2016
Aadhya,6,0,2016
Aadi,0,7,2016
Aadil,0,8,2016
Aaditya,0,6,2016
Aadvik,0,3,2016
Aadya,7,0,2016
Aafje,3,0,2016
Aafke,5,0,2016
Aahana,3,0,2016
Aakash,0,15,2016
Aalaa,3,0,2016
Aalia,6,0,2016
Aaliah,3,0,2016
Aalisha,3,0,2016
Aaliya,13,0,2016
Aaliyah,303,0,2016
Aaltje,23,0,2016
Aalya,5,0,2016
Aalyah,9,0,2016
Aalysha,3,0,2016
Aamar,0,3,2016
Aamer,0,3,2016
Aamina,10,0,2016
Aamir,0,16,2016
Aanya,14,0,2016
Aarabi,7,0,2016
Aaraby,3,0,2016
Aaran,0,3,2016
Aaranan,0,3,2016
Aarani,9,0,2016
Aarany,3,0,2016
Aarathana,7,0,2016
Aarav,0,21,2016
Aaren,0,3,2016
Aaricia,16,0,2016
Aarish,0,3,2016
Aariz,0,3,2016
Aarjan,0,3,2016
Aarna,4,0,2016
Aarnav,0,4,2016
Aarne,0,4,2016
Aarno,0,5,2016
Aaro,0,6,2016
Aarohi,6,0,2016
Aaron,0,3228,2016
Aarone,0,3,2016
Aart,0,17,2016
Aarthi,6,0,2016
Aarthiga,4,0,2016
Aarthiha,3,0,2016
Aarththy,3,0,2016
Aarthy,3,0,2016
Aarti,10,0,2016
Aartje,5,0,2016
Aaruja,3,0,2016
Aaruran,0,5,2016
Aarusan,0,3,2016
Aarush,0,20,2016
Aarusha,4,0,2016
Aarushi,5,0,2016
Aarya,5,0,2016
Aaryan,0,11,2016
Aaryav,0,3,2016
Aarón,0,24,2016
Aasa,6,0,2016
Aase,13,0,2016
Aasha,4,0,2016
Aashish,0,3,2016
Aastha,4,0,2016
Aathavan,0,14,2016
Aathish,0,6,2016
Aathishan,0,3,2016
Aathith,0,3,2016
Aathithan,0,3,2016
Aathmika,3,0,2016
Aava,3,0,2016
Aaya,3,0,2016
Aayan,0,13,2016
Aayana,3,0,2016
Aayush,0,15,2016
Aba,6,5,2016
Abaas,0,5,2016
Abadi,0,3,2016
Abadit,8,0,2016
Abakar,0,3,2016
Abanoub,0,4,2016
Abarna,23,0,2016
Abas,0,51,2016
Abass,0,18,2016
Abaynesh,6,0,2016
Abaz,0,100,2016
Abba,3,3,2016
Abbas,0,226,2016
Abbass,0,8,2016
Abbes,0,8,2016
Abbie,16,0,2016
Abbondanza,23,0,2016
Abbondio,0,5,2016
Abby,63,0,2016
Abby-Gaëlle,4,0,2016
Abbygail,4,0,2016
Abbygaëlle,6,0,2016
Abd,0,56,2016
Abdal,0,7,2016
Abdala,0,11,2016
Abdalah,0,5,2016
Abdalaziz,0,4,2016
